Application number,Title,Applicant(s),Inventor(s),Filing date,Application status,
2013248442,Method and apparatus for operating a solar thermal power plant,Siemens Aktiengesellschaft,"Bruckner, Jan; Thomas, Frank",11/04/2013,ACCEPTED,
2013249424,"Mounting assemblies, solar trackers, and related methods","Corio, Ronald P.","Corio, Ronald P.",16/04/2013,FILED,
2013251281,Photovoltaic cells with processed surfaces and related applications,"MH Solar Co., Ltd.","Sater, Bernard L.",1/11/2013,LAPSED,
2013251282,Photovoltaic cells with processed surfaces and related applications,"MH Solar Co., Ltd.","Sater, Bernard L.",1/11/2013,GRANTED,
2013251373,Fuel injector with purged insulating air cavity,Solar Turbines Incorporated,"Twardochleb, Christopher Zdzislaw; Duckers, Jonathan Gerrard",26/04/2013,ACCEPTED,
2013254025,Solar cell module and method for connecting same,"Nissha Printing Co., Ltd.","Yamaguchi, Yoichi; Ogaya, Shinji; Tsuda, Hayato",18/02/2013,FILED,
2013254274,Hybrid solar generator,"Tiano, Francesco Antonio; Tiano, Luca; Wits Engineering S.r.l.","Tiano, Francesco Antonio",24/04/2013,FILED,
2013254306,Solar power tower receiver,Stellenbosch University,"Kretzschmar, Holger; Gauche, Paul",25/04/2013,FILED,
2013254922,Electric cable for solar plant generating electrical energy and thermal energy and plant comprising it,Prysmian S.p.A,"Sarchi, Davide; Herold, Eduard; Martinelli, Paolo; Bechis, Massimo; Schorr, Burkhard",7/11/2013,FILED,
2013254968,SOLAR WARM WATER GENERATOR SYSTEM,"Luu, Quoc Thoi MR","Luu, Quoc Thoi; Luu, Lincoln Quoc Anh Ton; Luu, James An Loc",11/11/2013,GRANTED,
2013257477,Stationary parabolic solar power system and related methods for collecting solar energy,D & D Manufacturing,"Polk Jr., Dale",14/11/2013,ACCEPTED,
2013257529,Monitoring system,Solar Analytics Pty Ltd,"Vais, Valantis; Jarnason, Stefan; Basu, Avantika",19/11/2013,FILED,
2013262385,Light weight solar concentrator,SHEC Energy Corporation,"Beck, James Thomas",14/05/2013,FILED,
2013263823,Localized power point optimizer for solar cell installations,SunPower Corporation,"Noworolski, Jan Mark; Klein, David L.",29/11/2013,GRANTED,
2013266009,Advanced hydrogenation of silicon solar cells,NewSouth Innovations Pty Limited,"Wenham, Stuart Ross; Hamer, Phillip George; Hallam, Brett Jason; Sugianto, Adeline; Chan, Catherine Emily; Song, Lihui; Lu, Pei-Hsuan; Wenham, Alison Maree; Mai, Ly; Chong, Chee Mun; Xu, Guangqi; Edwards, Matthew Bruce",20/05/2013,FILED,
2013266938,Heating arrangement for heating a fluid utilizing a solar panel,SoletAer AB,"Fjaestad, Adam",21/05/2013,FILED,
2013267481,Structures and methods of formation of contiguous and non-contiguous base regions for high efficiency back-contact solar cells,"Solexel, Inc.","Deshpande, Anand; Kapur, Pawan; Rana, Virendra V.; Moslehi, Mehrdad M.; Seutter, Sean M.; Deshazer, Heather; Kommera, Swaroop; Anbalagan, Pranav; Rattle, Benjamine E.; Coutant, Solene",29/05/2013,LAPSED,
2013267494,Turbine damper,Solar Turbines Incorporated,"Zhang, Qingxuan Michael; Brown, Theresa A.; Faulder, Leslie John",30/05/2013,FILED,
2013270295,Solar photo-thermal receiving device,"Beijing Terasolar Energy Technologies Co., Ltd","Liu, Yang",30/05/2013,GRANTED,
2013270475,Trailer,Solar Powered Systems Pty Ltd,"Khoury, Edward Joseph",10/12/2013,LAPSED,
2013270476,Lighting Module,Solar Powered Systems Pty Ltd,"Khoury, Edward Joseph",10/12/2013,FILED,
2013270609,ATTACHMENT SYSTEM FOR MOUNTING SOLAR MODULES,Mounting Systems GmbH,"Redel, Mark",13/12/2013,FILED,
2013270933,Solar thermal panel array field arrangement and related vacuum solar thermal panel,TVP Solar SA,"Palmieri, Vittorio; Di Giamberardino, Francesco",5/06/2013,FILED,
2013271363,Solar energy receiver,Graphite Energy N.V,"Bain, Nicholas Jordan; Baddock, Garry James; Khoo, Paul Soo-Hock; Reynolds, David John; McNeil, Alexander McKechran Hardie; Laws, Adam Timothy; Chao, Jun",7/06/2013,FILED,
2013272248,Manufacturing methods and structures for large-area thin-film solar cells and other semiconductor devices,"Solexel, Inc.","Moslehi, Mehrdad M.; Kapur, Pawan; Kramer, Karl-Josef",24/04/2013,FILED,
2013273913,An ejector,Endless Solar Corporation Ltd,"Dennis, Michael",16/04/2013,FILED,
2013273921,A solar energy system,Endless Solar Corporation Ltd,"Dennis, Michael",11/06/2013,FILED,
2013273922,A solar energy system,Endless Solar Corporation Ltd,"Dennis, Michael",11/06/2013,FILED,
2013276804,Gas turbine process using a solar updraft tower power plant,Siemens Aktiengesellschaft,"Lenk, Uwe; Tremel, Alexander",6/05/2013,FILED,
2013277333,"Coated sheet materials having high solar reflective index and corrosion resistance, and methods of making same","PPG Industries Ohio, Inc.","Schwendeman, Irina G.; Retsch Jr., William H.; Rearick, Brian K.; Conley, Carole A.",18/06/2013,GRANTED,
2013279266,Solar cells,Norwegian University of Science and Technology (NTNU),"Weman, Helge; Fimland, Bjorn-Ove; Kim, Dong Chul",21/06/2013,FILED,
2013279643,Coating of a glass sleeve,Siemens Concentrated Solar Power Ltd.,"Aran, Hagai; Levin, Victor; Mor, Elad",3/06/2013,FILED,
2013280828,Brace for solar module array,SunPower Corporation,"Danning, Matthew G.; Lee, Wayman",21/06/2013,FILED,
2013282893,Solar panel cleaning system and method,Ecoppia Scientific Ltd.,"Meller, Moshe; Meller, Eran",14/06/2013,FILED,
2013283366,Solar collector system,"Hadlauer, Martin","Hadlauer, Martin",25/06/2013,FILED,
2013283919,Organic solar cell of the bulk heterojunction type comprising an imide based conjugated backbone compound as photoactive material,Tata Steel Nederland Technology B.V.,"Palaniswamy, Ganesan; Hannour, Fouzia; Dingemans, Theodorus Jacobus; Bouwer, Ricardo Klaas Maarten",31/05/2013,FILED,
2013284287,Cooling system for a solar power generator,Solar Systems Pty Ltd,"Heys, Malcolm",28/06/2013,FILED,
2013285053,Organic dyes comprising hydrazone moiety and use in dye- sensitized solar cells thereof,BASF SE,"Bruder, Ingmar; Send, Robert; Urnikaite, Simona; Malinauskas, Tadas; Daskeviciene, Maryte; Getautis, Vytautas",26/06/2013,FILED,
2013288275,Process for conducting organic reactions in a standalone and affordable laboratory scale solar photo thermochemical reactor,Council of Scientific Industrial Research,"Ghose, Pushpito Kumar; Chakraborty, Supratim; Dinda, Milan; Maiti, Subarna; Bhatt, Chitrangi Bankimbhai; Bharadia, Jitendra Narsinhbhai; Patel, Pankaj Arvindbhai; Bapat, Pratap Shashikant",9/07/2013,FILED,
2013289151,High efficiency solar cell structures and manufacturing methods,"Solexel, Inc.","Kramer, Karl-Josef; Moslehi, Mehrdad M.; Kapur, Pawan; Rana, Virendra V.; Dutton, David; Seutter, Sean M.; Calcaterra, Anthony; Ashjaee, Jay; Yonehara, Takao",2/04/2013,FILED,
2013289503,Use of microporous anionic inorganic framework structures containing dopant cations for producing thin film solar cells,Robert Bosch GmbH,"Hergert, Frank; Probst, Volker",5/06/2013,FILED,
2013291157,Solar power system,"Mitsubishi Hitachi Power Systems, Ltd.","Shinozaki, Kohei; Marumoto, Takahiro; Shikata, Tetsuo; Kashima, Jun; Tadakuma, Satoshi",17/07/2013,FILED,
2013295581,Solar thermochemical processing system and method,Battelle Memorial Institute,"Wegeng, Robert S.; Humble, Paul H.; Krishnan, Shankar; Leith, Steven D.; Palo, Daniel R.; Dagle, Robert A.",26/07/2013,FILED,
2013296123,Method for coating a solar panel,Solar Developments Pty Ltd,"Williams, Luke",21/02/2013,FILED,
2013297546,"Heat collection device for solar heat boiler, and tower-type solar heat boiler equipped with same","Mitsubishi Hitachi Power Systems, Ltd.","Marumoto, Takahiro; Shikata, Tetsuo",30/07/2013,ACCEPTED,
2013299324,Improvements to solar power systems,"Yeomans, Allan James","Yeomans, Allan James",31/07/2013,FILED,
2013299734,Solar energy collection utilizing heliostats,"Logos Technologies, LLC","Kremer, Richard M.; Pulliam, Wade",6/08/2013,FILED,
2013301239,"Boron containing perylene monoimides, process for their production, their use as building blocks for production of perylene monoimide derivatives, monoimide derivatives and their use in dye-sensitized solar cells",BASF SE; Max-Planck-Gesellschaft zur Forderung der Wissenschaften e.V.,"Wonneberger, Henrike; Bruder, Ingmar; Send, Robert; Battagliarin, Glauco; Li, Chen; Mullen, Klaus",24/07/2013,FILED,
2013301468,Solar thermosiphon system,Robert Bosch GmbH,"Lunz, Karin; Kemp, Alexander; Gachignard, Nelly; Clement, Uwe",9/08/2013,FILED,
2013303223,Designs for control on solar power system with extreme low energy consumption,LT Lighting (Taiwan) Corp.,"Shuy, Geoffrey Wen-Tai; Chang, Wen Ten; Lai, Hsin-Chen",12/02/2013,FILED,
2013304335,Support structure for solar modules,Habdank PV-Montagesysteme GmbH & Co. KG,"Habdank, Martin",19/01/2013,FILED,
2013306745,"Dye-sensitive solar cell paste, porous light-reflective insulation layer, and dye-sensitive solar cell","Sumitomo Osaka Cement Co., Ltd.","Yakubo, Teppei; Takano, Shingo",21/08/2013,FILED,
2013308336,Composite solar roof,"Blazley, Wade","Blazley, Wade",3/09/2013,FILED,
2013309484,Tunneling-junction solar cell with shallow counter doping layer in the substrate,SolarCity Corporation,"Xie, Zhigang; Heng, Jiunn Benjamin; Fu, Jianming; Xu, Zheng",24/06/2013,FILED,
2013311227,Low cost high efficiency solar power plant,"Verma, Subodh","Verma, Subodh",5/09/2013,FILED,
2013311710,A solar energy system,HSE Hitit Solar Enerji Anonim Sirketi,"Capan, Rahmi Oguz",4/09/2013,LAPSED,
2013317631,Hydrogen-regenerating solar-powered aircraft,Solar Ship Inc.,"Fournier, Sebastien; Godsall, Jay",19/09/2013,FILED,
2013317707,An improved apparatus for concentrating solar energy,Solar Sure Pty Ltd,"Shaw, Ian Henry",21/09/2013,FILED,
2013319925,Laminated glazing with coloured reflection and high solar transmittance suitable for solar energy systems,Swissinso SA,"Hody Le Caer, Virginie; Schuler, Andreas",29/08/2013,FILED,
2013320297,Process for the production of an optically selective coating of a substrate for high temperature receiver solar devices and relative material obtained,ENI S.p.A.,"Spano, Guido; Lazzari, Carla; Marella, Marcello",18/09/2013,FILED,
2013323061,"Method for producing a flat steel product having high reflectivity, flat steel product, and mirror element for solar concentrators",Outokumpu Nirosta GmbH; ThyssenKrupp Steel Europe AG,"Glass, Roman; Karsten, Utz; Kazmierski, Jorg; Kolbe, Nina; Krautschick, Hans-Joachim; Lange, Klaus Manfred; Puls, Stefan Peter; Schauer-Pass, Janine; Schuhmacher, Bernd; Wiemer, Dirk; Worster, Frank",27/08/2013,FILED,
2013323565,Excitonic energy transfer to increase inorganic solar cell efficiency,The Regents of the University of Michigan; University of Southern California,"Forrest, Stephen R.; Thompson, Mark E.",26/09/2013,FILED,
2013323868,Methods and structures for forming and improving solder joint thickness and planarity control features for solar cells,SunPower Corporation,"Linderman, Ryan; Phu, Thomas",23/09/2013,FILED,
2013325337,Solar air heating / cooling system,"Coulter, Grace","Coulter, Grace",2/10/2013,FILED,
2013327408,Opening rigid wing,Solar Sailor Pty Ltd,"Dane, Robert; Mathew, Ninan; McBride, Ian",8/10/2013,FILED,
2013331304,Systems and methods for monolithically integrated bypass switches in photovoltaic solar cells and modules,"Solexel, Inc.","Moslehi, Mehrdad M.",16/10/2013,GRANTED,
2013334912,Bifacial solar cell module with backside reflector,SunPower Corporation,"Kim, Sung Dug; Bunea, Gabriela",21/10/2013,FILED,
2013337195,Method for preparing polyester/polyolefin composite hot melt glue used for solar cell bus board,"East China University of Science and Technology; Kunshan Tianyang Hot Melt Adhesive Co., Ltd.; Shanghai Tianyang Hot Melt Adhesive Co., Ltd.","Xue, Weilan; Zhao, Ping; Li, Zhelong; Zhu, Wanyu; Zeng, Zuoxiang; Gao, Xu; Liu, Juan",24/10/2013,GRANTED,
2013337262,Systems and methods for monolithically isled solar photovoltaic cells and modules,"Solexel, Inc.","Moslehi, Mehrdad M.",5/11/2013,FILED,
2013338548,Inflatable solar powered lamp,"MPOWERD, Inc.","Snyder, Jason Alan",22/08/2013,FILED,
2013346002,Solar cell,"Sekisui Chemical Co., Ltd.","Ohara, Shunji; Hayakawa, Akinobu; Horiki, Mayumi; Ito, Kazushi",29/10/2013,FILED,
2013347413,Linear drive apparatus and method of controlling and using same for solar energy tracking,"Si Chuan Zhong Shun Solar Energy Development Co., Ltd","Huang, Zhong",27/09/2013,ACCEPTED,
2013352351,Solar module having a back plane integrated inverter,Sunedison Microinverter Products LLC,"Potharaju, Suryanarayana",26/11/2013,FILED,
2013354612,Solar biomass complementary thermal power system,"Zhongying Changjiang International New Energy Investment Co., Ltd.","Chen, Yilong; Yang, Qingping; Zhang, Yanfeng; Liu, Wenyan",5/12/2013,FILED,
2013355406,Seed layer for solar cell conductive contact,SunPower Corporation,"Cudzinovic, Michael; Wu, Junbo; Zhu, Xi",3/12/2013,FILED,
2013358829,Linear condensation assembly and manufacturing process therefor,"Si Chuan Zhong Shun Solar Energy Development Co., Ltd","Huang, Zhong",12/10/2013,FILED,
2013359837,Methods for electroless conductivity enhancement of solar cell metallization,SunPower Corporation,"Cudzinovic, Michael; Behnke, Joseph",5/12/2013,FILED,
2013361102,"Apparatus, systems and methods for collecting and converting solar energy",BENERGY LLC,"Bickmore, William D.",20/12/2013,FILED,
2013361666,Solar concentration system,"Skyven Technologies, LLC","Gupta, Arun",17/12/2013,FILED,
2013362916,Hybrid emitter all back contact solar cell,SunPower Corporation,"Loscutoff, Paul; Rim, Seung",17/12/2013,FILED,
2013362923,Module assembly for thin solar cells,SunPower Corporation,"Bunea, Gabriela",17/12/2013,FILED,
2013363569,Solar cell emitter region fabrication using etch resistant film,SunPower Corporation,"Loscutoff, Paul; Cousins, Peter J.",27/11/2013,FILED,
2013363570,Enhanced adhesion of seed layer for solar cell conductive contact,SunPower Corporation,"Wu, Junbo; Johnson, Michael C.; Cudzinovic, Michael; Behnke, Joseph; Zhu, Xi; Smith, David D.; Sewell, Richard Hamilton; Tu, Xiuwen; Rim, Seung Bum",27/11/2013,FILED,
2013363640,Solar cell with silicon oxynitride dielectric layer,SunPower Corporation,"Shepherd, Michael; Smith, David D.",26/11/2013,FILED,
2013364089,Controlling electrically-powered trash compactors and receptacles,"Big Belly Solar, Inc.","Poss, James A.; Satwicz, Jeffrey T.; Feldman, Michael E.; Skocypec, David J.",14/11/2013,FILED,
2013364371,Solar cell emitter region fabrication using silicon nano-particles,SunPower Corporation,"Loscutoff, Paul; Smith, David D.; Morse, Michael; Waldhauer, Ann; Kim, Taeseok; Molesa, Steven Edward",18/06/2013,FILED,
2013364372,Solar cell emitter region fabrication using N-type doped silicon nano-particles,SunPower Corporation,"Loscutoff, Paul; Cousins, Peter J.; Molesa, Steven Edward; Waldhauer, Ann",18/06/2013,FILED,
2013365633,Perovskite schottky type solar cell,Yissum Research Development Company of The Hebrew University of Jerusalem Ltd.,"Etgar, Lioz",19/12/2013,FILED,
2013368278,Support for solar energy collection,SunPower Corporation,"Agullo, Vicent Ripoll",11/12/2013,FILED,
2013369133,Device for positioning a member for transmitting solar energy relative to an optical concentrator,ECHY,"Martin-Laval, Quentin; Fourment, Paul",24/12/2013,FILED,
2013370015,Seawater desalting apparatus and method using solar energy for continuously supplying heat,"Zhongying Changjiang International New Energy Investment Co., Ltd","Chen, Yilong; Yang, Qingping; Zhang, Yanfeng",15/11/2013,FILED,
2013377371,A hybrid multilayer solar selective coating for high temperature solar thermal applications and a process for the preparation thereof,Council of Scientific & Industrial Research,"Chandra, Harish Barshilia; Basu, Jyothi Bharathibai; Vara, Lakshmi Ramachandrappa",11/09/2013,FILED,
2013402604,"Solar heat turbine system, and device and method for controlling said system","Mitsubishi Heavy Industries, Ltd.","Harada, Shoichi; Higashi, Kazuya; Sonoda, Takashi; Yamamoto, Keisuke; Iwasaki, Yoshifumi; Iwasaki, Tatsuya",10/10/2013,FILED,
2013408092,Solar cell and preparation method therefor,"Wenguang, Quan","Wenguang, Quan",19/12/2013,FILED,
2013900023,Component and method for connecting a tank to a solar water heating assembly,"Finn, Warren","Finn, Warren",4/01/2013,LAPSED,
2013900097,Continuous Solar Thermal Home Power,naturise pty ltd,"Hudson, Geoffrey",14/01/2013,LAPSED,
2013900165,A SOLAR ROOF SHEET ASSEMBLY,Fielders Australia Pty Ltd,Not Given,18/01/2013,LAPSED,
2013900225,RAYS SOLAR FRESH WATER TENT AND SOLAR BALLOON FRESH WATER SOLUTION,"TURNER, ARTHUR RAYMOND","TURNER, ARTHUR RAYMOND",21/01/2013,LAPSED,
2013900250,Solar Tracking Skylight Cover with Storm Protection,"Gaeth, John Allan MR","Gaeth, John Allan",25/01/2013,LAPSED,
2013900261,A SOLAR PANEL KIT,Brown & Watson International Pty Ltd,Not Given,23/01/2013,LAPSED,
2013900310,Solar cell metallisation and interconnection method,NewSouth Innovations Pty Ltd,"Edwards, Matthew",31/01/2013,LAPSED,
2013900351,Solar cell metallisation and interconnection method,NewSouth Innovations Pty Ltd,"Edwards, Matthew; Hsiao, Pei-Chieh",4/02/2013,LAPSED,
2013900404,Solar energy pad,"de Varda, Joseph","de Varda, Joseph",8/02/2013,LAPSED,
2013900593,Solar Air Heating System with Special Design of Evacuated Tubes for Domestic and Commercial Use,"Pintar, Marko MR; Zheng, JingJing MS","Zheng, JingJing; Pintar, Marko",22/02/2013,LAPSED,
2013900594,Economical Solar Heater for Liquids,"Preda, Dorin MR","Preda, Dorin",22/02/2013,LAPSED,
2013900704,A monolithically integrated solar cell system,NewSouth Innovations Pty Limited,"CHAN, Catherine Emily; WENHAM, Stuart Ross; HALLAM, Brett Jason; WENHAM, Alison Maree",1/03/2013,LAPSED,
2013900882,Wind uplift protection for solar collector panels,OPTEX SOLAR PTY LTD,"Grochola, Gregory",14/03/2013,LAPSED,
2013900904,SOLAR ENERGY CONCENTRATORS,"Yeomans, Allan James MR","Yeomans, Allan James",15/03/2013,LAPSED,
2013900956,GL FLASH ROTARY SOLAR ENERGY GENERATOR,"Lyons, Mark Jack MR","Lyons, Geoffrey Hyman Louis",19/03/2013,LAPSED,
2013901111,EFFICIENT SOLAR POWER GENERATOR,Theodoma Limited,"Drysdale, Kenneth William Patterson",2/04/2013,LAPSED,
2013901232,COMBINED PHOTOVOLTAIC- THERMAL SOLAR COLLECTOR BASED ON ALUMINIUM HEAT PIPES FOR SOLAR HVAC.,"Elgart, Yakov","Rassamakin, Boris; Khairnasov, Sergii; Dusheiko, Michel; Rassamakin, Andrii; Frolov, Genadii; Elgart, Yakov",10/04/2013,LAPSED,
2013901255,An Effective and Economical Solar Air Heating System,"Pintar, Marko MR; Zheng, JingJing MS","Zheng, JingJing; Pintar, Marko",12/04/2013,LAPSED,
2013901854,A solar energy concentrator apparatus and method of designing,Intex Holdings Pty Ltd,"Davies, Roger Philip",23/05/2013,LAPSED,
2013901981,"A floating, deploy-able, remote, and autonomous water quality monitoring device. The device is placed in waterways or the ocean, and floats on the water giving position and speed (via GPS/GNSS), connectivity (via modem), and a range of water quality measurements (such as EC, temperature, turbidity). A camera may also be included to capture an image as the device floats along. The device runs on solar panels and/or batteries.",The FARMPOS Unit Trust,"Neale, Timothy",2/06/2013,LAPSED,
2013901991,Solar Roof Panel,BLUESCOPE STEEL LIMITED,Not Given,3/06/2013,LAPSED,
2013902157,A Tilting Energy Harnessing Rig,Solar Sailor Pty Ltd,"Dane, Robert",14/06/2013,LAPSED,
2013902206,Solar panel,Illumination Australia Pty Ltd,Not Given,18/06/2013,LAPSED,
2013902242,Solar still modules,First Green Park Pty Ltd,"Johnstone, Peter",20/06/2013,LAPSED,
2013902314,AN APPARATUS FOR COLLECTING SOLAR RADIATION,K-HART International Pty Ltd,"OBEYESEKERA, Bandu Ranjith Kumara; OBEYESEKERA, Tanya Garuthma",25/06/2013,LAPSED,
2013902529,Solar powered device,Illumination Australia Pty Ltd,Not Given,9/07/2013,LAPSED,
2013902552,Patent SC-MH (The Solar Cube for Micro-Grid Hub),"TANG, (Richard) Zhao Kun","TANG, Zhao Kun",5/07/2013,LAPSED,
2013902675,AN ELECTRICITY DISTRIBUTION SYSTEM AND METHOD,Share My Solar Pty Ltd,"KENNEDY, John Clare River Gerrard; BUNTER, Adrian Maxwell",18/07/2013,LAPSED,
2013902777,Solar Cell Apparatuses and Methods,Swinburne University of Technology,Not Given,26/07/2013,LAPSED,
2013902808,Solar energy collection apparatus and method of designing and/or orienting same,Intex Holdings Pty Ltd,"Davies, Roger Philip",29/07/2013,LAPSED,
2013902948,A HIGH EFFICIENCY STACKED SOLAR CELL,NewSouth Innovations Pty Limited,Not Given,6/08/2013,LAPSED,
2013903013,A PHOTOVOLTAIC SOLAR WATER HEATING SYSTEM,New England Solar Power Pty Ltd,Not Given,9/08/2013,LAPSED,
2013903058,(Solar) Rock Heater,"Humphries, Tony Alfred",Not Given,6/08/2013,LAPSED,
2013903059,"Generator of Solar to Steam, to house electricity","Humphries, Tony Alfred",Not Given,8/08/2013,LAPSED,
2013903141,Solar Panel Temperature Moderator System,ROGER C & MARIA A WEBB,"Webb, RC & MA",20/08/2013,LAPSED,
2013903186,Solar Weatherboard or Siding,ROGER C & MARIA A WEBB,"Webb, Roger & Maria",22/08/2013,LAPSED,
2013903194,ENERGY SUPPLY AND STORAGE SYSTEM FOR USE WITH SOLAR ENERGY COLLECTING APPARATUS,"Yeomans, Allan James MR","Yeomans, Allan James",23/08/2013,LAPSED,
2013903283,Improved solar still,First Green Park Pty Ltd,"Johnstone, Peter",29/08/2013,LAPSED,
2013903286,Solar Thermal /Photo Voltaic Energy Recovery Weatherboard Cladding,ROGER C & MARIA A WEBB,"Webb, Roger & Maria",29/08/2013,LAPSED,
2013903340,Reusable floating aquatic plant wastewater treatment system integrated with solar powered aeration/mixing device to create both aerobic and anaerobic environments for treatment,"REXSAS PTY. LIMITED; Wellington, Christopher MR","Wellington, Christopher",2/09/2013,LAPSED,
2013903534,SOLAR COLLECTORS,"Stanley, Rick MR","Stanley, Rick",13/09/2013,LAPSED,
2013903684,"A solar-charged waterproof shockproof mobile phone case for electronic device includes a solar collector configured to generate electrical energy when exposed to sunlight or light, a connector housed in the mobile case coupled to the solar collector and battery to provide a discharging electrical energy to a device that fits in the casing retains solar electrical energy to the device whilst in the case , In turn runs the device in a hybrid manner separate to its existing power supply. this case will also house the device to retain a waterproof and shockproof enviroment","McIntyre, Darren John MR","McIntyre, Darren John",24/09/2013,LAPSED,
2013903757,HEAT ENERGY STORAGE METHOD AND APPARATUS FOR USE WITH SOLAR ENERGY COLLECTING APPARATUS,"Yeomans, Allan James MR","Yeomans, Allan James",30/09/2013,LAPSED,
2013903807,A HYBRID SOLAR AND CHEMICAL LOOPING COMBUSTION SYSTEM,Adelaide Research & Innovation Pty Ltd,Not Given,2/10/2013,LAPSED,
2013903817,Solar Powered Pump,"Molloy, Anthony John","Molloy, Anthony John",3/10/2013,LAPSED,
2013903876,Solar Powered Direct Current Powered Pump Green Wall System Using Hydroponic Growing Principles and Featuring Removable Growing Trays and a Vacuum Water Feeding Device,LOWNDES LANDSCAPES PTY LTD,"Lowndes, Ian",8/10/2013,LAPSED,
2013903936,A circular Solar Cell for use in turf watering systems which is not prone to obstruction or breakage,"Thomas, Ian Richard MR","Thomas, Ian Richard",14/10/2013,LAPSED,
2013903944,Heat Dissipation Arrangement for Solar Tube Absorbers,Commonwealth Scientific and Industrial Research Organisation,"Benito, Regano; Too, Yen Soo; Duffy, Gregory; Edwards, James",14/10/2013,LAPSED,
2013904079,SOLAR PANEL RACKING ARRAY,Powerak Pty Ltd,"CAP, George Jaroslav",23/10/2013,LAPSED,
2013904098,A solar tracking assembly,Meccanica Pty Ltd,Not Given,24/10/2013,LAPSED,
2013904236,A NEW METHOD OF HARNESSING SOLAR ENERGY VIA THE MANUFACTURE OF NEUTRINO CYCLONES AND PRODUCTION OF HYDROGEN GAS,"HINCKFUSS, DOUGLAS ALBERT","HINCKFUSS, DOUGLAS ALBERT",30/10/2013,LAPSED,
2013904327,Air to water domestic heat pump hot water system with integrated double wall vented heat exchanger.,AQUATECH SOLAR TECHNOLOGIES PTY LTD,"Baird, Simon Richard",8/11/2013,LAPSED,
2013904374,A SOLAR CONCENTRATOR HAVING A TRANSVERSE COMPRESSION STAGE FOLLOWED BY A FOCUSSING STAGE ABOUT A PERPENDICULAR TRANSVERSE DIRECTION,Zodan Pty Ltd,"Hilton, John Allen",12/11/2013,LAPSED,
2013904461,Solar thermal collector,"Patford, Laurie",Not Given,19/11/2013,LAPSED,
2013904551,Solar concentrator,The University of Melbourne,Not Given,26/11/2013,LAPSED,
2013904647,A METHOD OF FABRICATING AN EJECTOR FOR A SOLAR ENERGY SYSTEM,Endless Solar Corporation Ltd,Not Given,29/11/2013,LAPSED,
2013904776,Solar Energy Charging Device in the form of a Cap,"Thomas, Maximilian MR","Thomas, Maximilian",9/12/2013,LAPSED,
2013904950,Modular Unit For Attachment To A Solar Panel,"Webb, Maria; Webb, Roger","Webb, Roger; Webb, Maria",18/12/2013,LAPSED,
2013904994,A solar array assembly,Laing O'Rourke Australia Pty Ltd,"Lee, Peter Henry",20/12/2013,LAPSED,
2013905039,SOLAR POWERED ELECTRICAL DEVICE TRAILER,Joshmika Pty Ltd,"Fry, Ian",23/12/2013,LAPSED,
2014100104,Create a Solar panel comparison website. Solar panel providers/installers will be advertised very similar to an insurance comparison website. The website will feature information and an easy step by step guide on informing the customer what type of system they may need i.e. panels and inverter… Specials and deals can be advertised on the site by partnering solar panel companies. A range of quotes could be accumulated from companies and a quote could be given just by answering a few online questions. User friendly website that's interactive and also informative.,"Schwab, William MR","Schwab, William",5/02/2014,LAPSED,
2014100354,Combined Photovoltaic-Thermal Solar Collector,"Dusheiko, Mykhailo; Elgart, Yakov; Frolov, Gennady; Khairnasov, Sergii; Rassamakin, Andrii; Rassamakin, Boris","Elgart, Yakov; Rassamakin, Boris; Khairnasov, Sergii; Dusheiko, Mykhailo; Rassamakin, Andrii; Frolov, Gennady",10/04/2014,GRANTED,
2014100385,Battery Solar Storage Controller,"Tucker, Tristan MR","Tucker, Tristan",16/04/2014,CEASED,
2014100469,Hybrid Solar Backup/Grid and Off Grid Uninterrupted Power Supply (UPS),"Cufone, Roger MR; FREE RENEWABLE ENERGY ENTERPRISES PTY LTD","Cufone, Roger",8/05/2014,LAPSED,
2014100657,"Solar Energy Simulator A 'simulation based' Solar, Wind and Battery System simulator and performance predictor web application.","Flatow, Wolfgang MR","Flatow, Wolfgang",16/06/2014,GRANTED,
2014100676,A solar paint sprayer,"Tongxiang City Aopeiou Garments Co., Ltd.","XU, JING",18/06/2014,GRANTED,
2014100773,Solar panel securing device,"Xiamen Hopergy Photovoltaic Technology Co., Ltd","Jiang, Liping",7/07/2014,GRANTED,
2014100975,SOLAR POWERED OUTDOOR LIGHTING DEVICE,Sun-Wizard Holding Pty Ltd,"Fry, Ian; McCleary, Richard",25/08/2014,CERTIFIED,
2014101078,"Hybrid Solar Uninterrupted Power Supply and Off Grid Inverter, adaptable to most existing grid interactive solar systems.",FREE RENEWABLE ENERGY ENTERPRISES PTY LTD,"Cufone, Roger",5/09/2014,GRANTED,
2014101095,Solar thermal air flow heating tube device and solar thermal air flow heating tube system,"Pintar, Marko MR; Zheng, JingJing MS","Pintar, Marko; Zheng, JingJing",10/04/2014,GRANTED,
2014101175,Equal Access BBQ,Cosmos Solar Pty Ltd,"Hurley, Peter; Singh, Jaswinder",23/09/2014,GRANTED,
2014101189,Solid State Light,Solar Bright Limited,"Martin, Patrick John",29/09/2014,GRANTED,
2014101231,A SYSTEM FOR ALERTING A PERSON OR PERSONS OF A PUBLIC TRANSPORT HAZARD,Solar Bright Limited,"Martin, Patrick John",7/10/2014,GRANTED,
